 ,ITEM,KATEGORI BAHAN,,UNIT SO (),UNIT GUDANG,BERDASARKAN SATUAN SO [12/08/2026],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,DIVISI,KETERANGAN,MINIMUM STOCK,ISTILAH DATA RESEP,,
,,,,,,13,13,14,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,1,,,2,,3,,4,,5,,6,,7,,8,,9,,10,,,,,,,,
,,,,,,SO,in,out,in,out,in,out,in,out,in,out,in,out,,out,in,out,in,out,in ,out,in,out,in,out,in,out,SO ,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,,,,,,,
145,Lid Hot + Stopper Medium,,,pcs,pcs,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,
146,Lid Hot White Medium,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
147,Lid Ice 90 mm,,,pcs,pcs,12200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12200,,,,,,
148,Lap Microfiber,,,,pack,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,
149,Lemon Fresh,BASAH,,,gr,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,0,BAR,,200,,,
150,Lobak,BASAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
151,Lolorosa,BASAH,,gr,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,300,Lorosa,,
152,Lychee Kaleng Herring,KERING,,gr,can,1380,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,,,,,,,,,,,,,,,,,,,,,25,BAR,1 kaleng = 230gr,1134,,,
153,Mama Lemon 690 gr,,,,pouch,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,
154,Mama Lemon 950 gr,CHEMICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1,,,
155,"Mama Lemon 1,5 L",CHEMICAL,,gr,pouch,8,,,,,,,,,,,,1,,,2,,,,,,,,,,,6,,,,,,,4,,,,,,,,,,,,,,,7,BAR,,1,,,
156,Mascarpone 1 kg,,,,kg,5000,,,,,8000,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000,,,,,,
157,Matcha Powder,KERING,,kg,kg,,,,,,,,,,,,,1,,, ,,,,,1,,,,,,2,6,,,,,,2,,,,,,,,,,,,,,,0,BAR,,2000,,,
158,Mauri-pan Ragi Kering 500 gr,,,,pack,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,2,,,,,,,,,,,,,,,6500,,1 pack = 500gr,,,,
159,Mayonaise Maestro 1 kg,KERING,,gr,gr,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,5000,KITCHEN,,2,,,
160,Mentega Blue Band 1 kg,KERING,,gr,pack,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,KITCHEN,,2000,,,
161,Mentega Blue Band 2 kg,,,,can,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,4000,,,,,,
162,Mentega Blue Band 200 gr,,,,pack,200,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,200,,,,,,
163,Mie Telur Burung Dara 140 gr,KERING,,,pack,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,,,1960,KITCHEN,1 pack = 140gr,10,Mie ,,
164,Mie Portion 100gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1 pcs = 100 gr,,,,
165,Mie Bakmie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"harga per kg, brp pcs?",,,,
166,Millac 1L,DAIRY,,ml,Liter,33000,,,,,,,,,,,,38,,,,,,,48,14 ,,,,,,2,43,,,,,,4,,,,,,,,,,,,,,,33000,KITCHEN,,6000,,,
167,Mineral Water Mountoya 600 ml,KERING,,,dus,22,,,,,,,50,,,,,5,,,,,,,,18,,,,,,2,,,,,,,,,,,,,,,,,,,,,,22,BAR,,48,,,
168,Minyak Goreng Sovia 18L,KERING,,,dus,7200,,,,,5,,,,,,,3,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,3,,,,,,7205,KITCHEN,,18000,,,
169,Minyak Goreng Sovia 2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,Minyak Wijen Chee Seng,KERING,,,botol,,,,,,2250,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2250,KITCHEN,,750,,,
171,Mix Vegetable 1 kg,KERING,,gr,kg,,,,,,5000,,,,,,,2,,,,,,,,,,,,,,2,4,,,,,,2,,,,,,,,,,,,,,,5000,KITCHEN,1 pack = 1kg,2000,,,
172,Mozarella Anchor 250 gr,KERING,,,gr,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,KITCHEN,,1000,,,
173,Mozarella Anchor 1 kg,,,,gr,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,
174,Saos Mustard Maestro,KERING,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,245,,,
175,Saos Mustard Maestro,,,,botol,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,
176,Oatside 1L,KERING,,,ml,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7000,BAR,,6000,,,
177,Olive Oil 5L,KERING,,l,pcs,5000,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,KITCHEN,,1000,,,
178,Oyster Sauce Lee Kum Kee 770 gr,KERING,,gr,botol,3850,,,,,3850,,,,,,,,,,,,,,,1,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,7700,KITCHEN,,770,Oyster,,
179,Palm Suiker 1 kg,KERING,,gr,gr,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1000,KITCHEN,,1000,Palm Suiker,,
180,Pangsit Goreng,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
181,Paper Bag 100pcs/pack,KEMASAN,,pcs,pack,31,,,,,,,,,,,,200,,,,,,,,,,,,,,,14,,,,,,3,,,,,,,,,,,,,,,31,BAR,1 pack = 100 pcs,200,,,
182,Paper Bowl + tutup 500 ml 25 pcs,KEMASAN,,pcs,pcs,475,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,475,KITCHEN,,25,,,
183,Paper Bowl + tutup 800 ml 25 pcs,,,,pcs,750,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,750,,,,,,
184,Paper Bowl + tutup 1000 ml 25 pcs,,,,pcs,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
185,Paper bowl brownies 25 pcs,,,,pcs,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
186,Paper Doley,KEMASAN,,pcs,pack,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,12,KITCHEN,,1,,,
187,Paprika hijau,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
188,Paprika merah,BASAH,,gr,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
189,Parsley Fresh,KERING,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
190,Peach Delmonte Halves 825 gr,KERING,,gr,can,20,,,,,,,,,,,,,,,,,,,,1,,,,,,1,20,,,,,,,,,,,,,,,,,,,,,20,BAR,1 kaleng = 825 gr,825,,,
191,PET Large,KEMASAN,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BAR,,500,,,
192,PET Medium,KEMASAN,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BAR,,500,,,
193,Pisang Tanduk,BASAH,,,kg,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,0,KITCHEN,,2,,,
194,Pisau Plastik,KEMASAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BAR,,100,,,
195,Plastik 25x40 cm,,,,pack,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,
196,Plastik HD Anti Panas Merk Diamond 15 x 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Plastik HD Anti Panas Merk Diamond 20 x 35,KEMASAN,,pack,pack,3,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,3,KITCHEN,,5,,,
198,Plastik HD Cinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
199,Plastik HD,,,,pack,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
200,Plastik 2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
201,Plastik clip ziplock 5x8cm,,,,pack,30,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,30,,,,,,
202,Plastik clip ziplock 7x10cm,,,,pack,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,
203,Plastik clip ziplock 16x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Plastik OPP 16x25cm 100 pcs,,,,pack ,4,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
205,Plastik PE Merk Tomat 12 X 25,,,,pack,18,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,8,8,,,,,,,,,,,,,,18,,,,,,
206,Plastik PE Merk Tomat 15 x 30,,,gr,pack,88,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,,,,,,,,,,,,,,,,,,,,,88,,,,,,
207,Plastic Wrap roll 45 cm,,,,roll,6,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,6,,,,,,
208,Plastik Wrap Kiyomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,
209,Plastik Single 100gr,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
210,Plastik seal,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
211,Prochiz Gold Cheddar 160gr,,,,pack,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,
212,Prochiz Gold Cheddar 2kg,,,,pack,1,,,,,5,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,6,,,,,,
213,Bumbu Soto Indofood,KERING,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,10,,,
214,RAP Zeelandia (Fla instan),,,,pack,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,8,,,,,,
215,Red Velvet Powder,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
216,Redoxone,KEMASAN,,pack,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1,,,
217,Rinso Cair 700 ml,CHEMICAL,,gr,pack,6,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,KITCHEN,,1,,,
218,Romaine,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
219,Rose Brand Maizena 500 gr ,,,,gr,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,
220,Rosemary,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,50,,,
221,Royco Ayam,,,,kg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,
222,Sabun colek ekonomi 145 gr,,,pcs,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,0,,,,,,
223,santan 65 ml,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,1 pcs = 65 ml,5,,,
224,Sauce Cup,KEMASAN,,,pack,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,25,,,
225,Saus bangkok indofood 335 ml,KERING,,botol,botol,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,3,,,
226,"Saus Sambal delmonte 5,5 kg",KERING,,pcs,jerigen,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4,BAR,,24,Saus Chili,,
227,Saus Sambal delmonte sachet,,,pcs,pack,29,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,,,,,,,,,,,,,,,,,,,,,29,,,,,,
228,"Saus Tomat delmonte 5,5 kg",KERING,,pcs,jerigen,3,,,,,17100,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,17103,BAR,,24,,,
229,Saus Tomat delmonte sachet,,,pcs,pack,12,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,12,,,,,,
230,Sarada Saus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
231,Sawi Hijau,BASAH,,gr,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,0,KITCHEN,,200,Caisim,,
232,Sea Salt ,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
233,Selada,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,200,,,
234,Selasih,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,
235,Seledri,BASAH,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
236,Spork Plastik (plus tissue + tusuk gigi),KEMASAN,,pcs,pcs,1700,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,3000,,,,,,,,,,,,,,,,,,,,1700,BAR,,100,,,
237,Sendok Garpu Plastik (tissue + tusuk gigi),,,,pcs,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,300,,,,,,
238,Sendok teh plastik uno hiji 100 pcs,,,,pack,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,2,,,,,,,,,,,,,,,1700,,,,,,
239,Sendok plastik kecil 500 pcs,,,pcs,,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,,,,,,
240,Sereh,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
241,Shine Road 1L,DAIRY,,ml,pcs,3000,,,,,,,,,,,,2,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,12,,,,,,3000,BAR,,1000,,,
242,Smoked Beef bernardy 500 gr,KERING,,gr,pcs,3500,,,,,7500,,,,,,,4,,,10,,,,,1,,,,,,,20,,,,,,,,,,,,,,,,,,,,,11000,KITCHEN,,500,,,
243,Smoked Hickory,KERING,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1,,,
244,"Soklin biomatic 1,45 L",,,,pack,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
245,Sosis bratwurst bernardy 900gr/11pcs,KERING,,pcs,pack,8100,,,,,4500,,,,,,,,,,,,,,,2,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,12600,KITCHEN,,100,Sosis,,
246,Sosis Dilamo 500 gr ,,,gr,pack,1500,,,,,,,,,,,,,,,,,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,1500,,1 pack = 500 gr,,,,
247,Spaghetti Lafonte 1 kg,KERING,,,pack,13,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,,,,,,,,,,,,,,23,KITCHEN,,4,,,
248,Spons Busa Scotch-Brite ,,,,pcs,50,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,
249,Spons Jaring,,,,pcs,17,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,46,,,,,,
250,Spons kawat 3 pcs,,,,pack,27,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,1 pack = 3 pcs,,,,
251,Star Anise,KERING,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
252,Stella Refill matic 225 ml,,,,pcs,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
253,Sugar Stevia,KERING,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BAR,,25,,,
254,Stirrer Medium uk 17 cm ,KEMASAN,,pcs,pack,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2800,BAR,,200,,,
255,Stirrer / sedotan panas uk.12,,,pcs,pack,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,4300,,,,,,
256,Stirrer,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
257,Sedotan Higienis Putih,KEMASAN,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,BAR,,500,,,
258,White Sugar Stick 40pcs,KERING,,pcs,pack,23,,,,,,,,,,,,3,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,23,BAR,,48,,,
259,Sumpit Ion,KEMASAN,,pcs,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,0,BAR,1 pack = 50 pcs,50,,,
260,Sunquick Orange 700 ML,KERING,,ml,botol,2800,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,2,,,,,,,,,,,,,,,2800,BAR,,700,,,
261,Sunquick Orange 300 ML,,,ml,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
262,Sunquick mango 700 ml,,,,ml,11200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11200,,,,,,
,Super Pell 500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
263,Super Pell 770ml,CHEMICAL,,ml,pcs,,,,,,,,,,,,,2,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6,BAR,,400,,,
264,Super Sol 750 ml,,,,pack,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4500,,,,,,
265,Susu Diamond Fresh Milk Plain - 946ml,,,,ml,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000,,,,,,
266,Syrup Butterscotch Denali 750ml,KERING,,gr,botol,1500,,,,,,,,,,,,,,,,,,,,2,,,,,,,16,,,,,,1,,,,,,,,,,,,,,,1500,BAR,,750,Butterscotch Syrup,,
267,Syrup Caramel Monin 1L,KERING,,gr,botol,4000,,,,,,,,,,,,,,,6,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,4000,BAR,,1000,Caramel Syrup,,
268,Syrup Coconut Masterista 850ml,KERING,,gr,botol,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,3400,BAR,,850,Coconut Syrup,,
269,Syrup Hazelnut Monin 1L,KERING,,gr,botol,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5000,BAR,,750,Hazelnut Syrup,,
270,Syrup Hazelnut Denali 750ml,,,,botol,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,2,,,,,,,,,,,,,,,3000,,,,,,
271,Syrup Lemon Rantcho Monin 700ml,KERING,,gr,botol,3500,,,,,,,,,,,,1,,,,,,,,,6,,,,,2,7,,,,,,1,,,,,,,,,,,,,,,3500,BAR,,1500,Sirup Rantcho,,
272,Syrup Lychee Monin 1L,KERING,,gr,botol,5000,,,,,,,,,,,,,,,6,,,,,1,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,5000,BAR,,1000,,,
273,Syrup Peach Monin 1L,KERING,,gr,botol,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,5000,BAR,,1000,Peach Syrup,,
274,Syrup Pineapple Masterista 850ml,KERING,,gr,botol,2550,,,,,,,,,,,,,,,,,,,,,6,,,,,,6,,,,,,2,,,,,,,,,,,,,,,2550,BAR,,1700,Pineapple Syrup,,
275,Syrup Pistachio Masterista 850ml,KERING,,gr,botol,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5100,BAR,,850,Pistachio Syrup,,
276,Syrup Raspberry Masterista 850ml,KERING,,gr,botol,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,6800,BAR,,850,Raspberry Syrup,,
277,Syrup Rose Masterista 850ml,KERING,,gr,botol,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2550,BAR,,850,Rose Syrup & Sirup Rose,,
278,Syrup Strawberry Monin 1L,KERING,,gr,botol,8000,,,,,,,,,,,,,,,6,,,,,5,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,8000,BAR,,2000,Strawberry Syrup,,
279,Syrup Vanilla Monin 1L,KERING,,gr,botol,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4000,,,,,,
280,Syrup Wild Mint 1L,KERING,,gr,botol,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4000,,,,,,
281,Tahu Sutera,BASAH,,pcs,pcs,,,,,,,,,,,,,,,,,,2,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,,,,
282,Tatura Cream Cheese 2kg,,,,pack,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,6,,,,,,,,,6,,,,,,4000,,,,,,
283,Sendok Teh Plastik Tip Top,KEMASAN,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,BAR,,100,,,
284,Teh Bubuk Cap Botol 80 gr,KERING,,gr,gr,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1920,BAR,,400,Teh Cap Botol,,
285,Teh Bubuk Goal Para 250 gr,KERING,,gr,pack,9500,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,2,,,,,,,,,,,,,,,9500,BAR,,250,Teh Goalpara,,
286,Teh Tong Tji Bubuk,KERING,,gr,pack,2000,,,,,,,,,,,,5,,,,,,,,,,,,,,5,35,,,,,,,,,,,,,,,,,,,,,2000,BAR,,400,,,
287,Telur Ayam,KERING,,pcs,kg,,,,,,,,,,,,,,,,,,45,,,48,,,,,,5,,,,,,,4,,,,,,,,,,,,,,,0,KITCHEN,,5000,Telur Utuh,,
288,Tender,KERING,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,3,,,,,,,,,,,,,,,0,KITCHEN,,5000,,,
289,Tepung Cakra Kembar 1 kg,,,,pack,44000,,,,,,,,,,,,,,,4,,48,,,36,,,,,,,32,,,,,,,24,,,,,,,,,,,,,,44000,,,,,,
290,Tepung Kulit Gandum Golden Eagle 1 kg,,,,pack,1,,,,,3000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,,,,,,
291,Tepung Maizena Maizenaku 1 kg,KERING,,gr,gr,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4000,KITCHEN,,250,,,
292,Tepung Mocaf 500 gr,,,,gr,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,2500,,,,,,
293,Tepung Roti Mamasuka 1 kg ,,,,gr,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,
294,Tepung Tapioka Captani 1 kg,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,3,,,,,,,,,,,,,,,0,,,,,,
295,Tepung Terigu Segitiga Biru 1kg,KERING,,gr,pack,8000,,,,,,,,,,,,,,,1,,,,,2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,8000,KITCHEN,,1000,,,
296,Thai Tea Chatramue 400gr/pack,KERING,,gr,gr,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1200,BAR,,400,Thai Tea Based,,
