 ,ITEM,KATEGORI BAHAN,,UNIT SO (),UNIT GUDANG,BERDASARKAN SATUAN SO [12/08/2026],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,DIVISI,KETERANGAN,MINIMUM STOCK,ISTILAH DATA RESEP,,
,,,,,,13,13,14,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,1,,,2,,3,,4,,5,,6,,7,,8,,9,,10,,,,,,,,
,,,,,,SO,in,out,in,out,in,out,in,out,in,out,in,out,,out,in,out,in,out,in ,out,in,out,in,out,in,out,SO ,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,,,,,,,
32,Box Take Away - sekat 3,,,pack,pack,103,,,,,,,,,,,,,,,20,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,
33,Botol Take Away - 1L,KEMASAN,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
34,Brown Sugar Stick 30pcs,KERING,,pcs,pack,18,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,18,BAR,1 pack = 30 pcs,1,,,
35,Bumbu Gulai Daging Indofood - Dus,KERING,,dus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,KITCHEN,1 Sachet = 45gr,,,,
36,Bumbu Gulai Racik Indofood - Sachet 45 gr,KERING,,pack,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,99,,,,,,
37,Bumbu Rendang Racik Indofood - Sachet 45 gr,,,pack,pack,12,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,5,,,,,,,,,24,,,,,,12,,1 Sachet = 50gr,,,,
38,Butter - Orchid Creamery Butter,KERING,,gr,gr,400,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,400,KITCHEN,1 pack = 200gr,1000,,,
39,Butter - Baker Mix ,,,,gr,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,,1 dus isi 15 kg,,,,
40,Butter - Master Martini Gioia,,,,kg,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,12000,,1 dus 20 kg,,,,
41,Cabe Domba,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
42,Chili Flakes,KERING,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,200,,,
43,Cabe Merah TW,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
44,Cabe Rawit Merah ,KERING,,gr,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
45,Cabe Kering Keriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,0,,,,,,
46,Cakue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
47,Davinci Caramel Sauce,KERING,,gr,botol,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,BAR,1 Botol = 2L,2000,,,
48,Cengkeh,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
49,Jamur Champignon,BASAH,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
50,Cheeseng Pure Sesame Oil 750 ml,,,botol,,1,,,,,2250,,,,,,,,,,2,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,2251,,,,,,
51,Chilli Sauce,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,5500,Chili Sauce,,
52,Chilli Powder 234gr,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
53,Chocolate Chunk 1kg,,,gr,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,
54,Chocolate Powder Bordeaux - Tulip,KERING,,gr,pack,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BAR,"1 pack = 2,5kg",2000,,,
55,Chocolate Powder By Ramdan 1 kg,,,gr,kg,,,,,,,,,,,,,1,,,10,,,,,,,,,,,2,9,,,,,,2,,,,,,,,,,,,,,,0,,1 pack = 1kg,,,,
56,Chocolate Tulip - Compound,,,kg,kg,6000,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,6000,,1 pack =  1 kg,,,,
57,Ciao Peeled Tomato,,,kaleng,kaleng,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,"1 pack =  2,5kg",,,,
58,Cikur,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1000,,,
59,Cireng Rujak Brexcelle,KERING,,pack,pack,20,,,,,,,,,50,,,,,,,,,,,20,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,20,KITCHEN,1 pack = 20pcs,5,,,
60,Cling 400ml,KEMASAN,,pack,pouch,22,,,,,,,,,,,1,,,,,,,,,,,,,,,,13,,,,,,1,,,,,,,,,,,,,,,11,BAR,1 pack - 400 ml,1,,,
61,Cutleries Set (pisau + garpu set),KEMASAN,,pcs,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1000,BAR,,2,,,
62,Cutleries Set (sendok + garpu set),,,pcs,pack,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1500,,,,,,
63,Cup Hot Small 8 oz - ER,,,pcs,pcs,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,7500,,,,,,
64,Cup Hot Medium 12 oz - ER,,,pcs,pcs,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,
65,Cup Ice Medium 12 oz - ER,,,pcs,pcs,4217,,,,,,,,,,,,500,,,,,,,,1000,,,,,,,1,,,,,,500,,,,,,,,,,,,,,,4217,,,,,,
66,Cup Ice Large 16 oz - ER,,,pcs,pcs,6500,,,,,,,,,,,,500,,,,,,,,,,,,,,,12,,,,,,500,,,,,,,,,,,,,,,6500,,,,,,
67,Cup gelas 500 ml - bening,,,pack,,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
68,Cuka Dixi 650ml,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0,,1 Botol = 650ml,,,,
69,Coffe Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
70,Dairy Champ Kaleng 480gr,KERING,,gr,kaleng,21120,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,21120,BAR,1 kaleng = 480gr,4800,,,
71,Bon Patis - Danish Pastry Butter Sheet,KERING,,,pcs,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,BAR,1 dus = 15pcs x 500gr,1,Danish Sheet,,
72,Daun Jeruk,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,50,,,
73,Daun Salam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
74,Delmonte Extra Hot 1 kg,,,gr,gr,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,
75,Knorr Demiglace Sauce 1 kg,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1000,,,
76,Susu Diamond UHT Full cream 1 L,DAIRY,,ml,liter,144000,,,,,,,,,,,,48,,,,,,,,,,,,,,,24,,,,,,9,,,20,,,,,,,,,,,,144000,BAR,,24000,,,
77,Earl Grey Tea 1 kg,KERING,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BAR,1 pack = 1kg,1000,Earl Gray,,
78,Emping,KERING,,,kg,500,,,,,,,,,,,,,,,4,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,500,KITCHEN,,1000,,,
