 ,VENDOR EKSISTING,NAMA BARANG,CATEGORY,PRODUK,MERK,UKURAN,SATUAN ISI,KEBUTUHAN PER PEKAN,HARGA EKSISTING,NAMA VENDOR BARU,NEXT VENDOR,HARGA EXISTING,HARGA 20/8/2026,,,Pekan I Mei,,
,Diisi oleh OUTLET,Diisi oleh OUTLET,Diisi oleh OUTLET,,Diisi oleh OUTLET,,,Diisi oleh OUTLET,,Diisi oleh tim Pengadaan PUSAT,,,,QTY,TOTAL BIAYA,ER Edelweiss,ER Summarecon,ER Cianjur
189,,Saos Cabe Delmonte Jerigen,Kemasan,ER Coffeelab,Delmonte,1 Kompan,kompan,,Rp55.000,MANDIRI (DIAN),,107.000,113.500,,0,,,
190,,Saos Cabe Sachet Delmonte,Kemasan,ER Coffeelab,Delmonte,5 pack,pack,,Rp166.500,Mandiri Pasbar (dian),,6.900,6.900,,0,,,
191,,Saos Tomat Delmonte Jerigen,Kemasan,ER Coffeelab,Delmonte,1 kompan,kompan,,Rp50.000,,,88.100,93.500,,0,,,
192,,Saos Tomat Sachet Delmonte,Kemasan,ER Coffeelab,Delmonte,5 pack,pack,,Rp70.000,,,5.200,5.200,,0,,,
193,,Sapu & Pengki,Perlengkapan,,,,,,,,,77.000,77.000,,,,,
194,,Sedotan Higienis Hitam,,,Hitam,,,,Rp35.000,Unggul prima Multiniaga (UPM),,20.600,20.600,,0,,,
196,,Sedotan Stirrer uk.17 cm,,,,isi 500 pcs,,,Rp40.000,Akapack,,24.310,24.310,7,170.170,4,,
197,,Sendok Makan Plastik (100pcs),Kemasan,ER Coffeelab,hcjp,1 pack isi 50,pack,,Rp90.000,Mandiri Pasbar (dian),,16.900,16.900,,0,,,
198,,Sendok plastik bening mini,Kering,Sanusa Kitchen,,,,,,,,3.500,3.500,,,,,
199,,Spork Plastik Higienis (tanpa tissue + tusuk gigi),Kering,Sanusa Kitchen,Sendok berbentuk garpu,,,,,pt wet wipes,,300,450,,,,,
200,,Sendok Teh Plastik Uno,Kemasan,ER Coffeelab,Tip top,1 pack isi 50,pack,,Rp9.000,ASTA,,10.800,10.800,19,205.200,,,
201,,Shine Road,Basah,ER Coffeelab,Shine Road,1 liter,liter,2 dus/minggu,Rp264.000,TOKO MANDIRI,, ,43.333,3,129.999,1,,
202,,Smoke Beef Bernady,Frozen,ER Coffeelab,Bernardy,500 gr,pack,2 pack,Rp10.000,MANDIRI (DIAN),,60.000,62.000,,0,,,
203,,Sosis Bratwurst Bernady,Frozen,ER Coffeelab,Bernardy,1 pack,pack,,Rp15.000,,,106.500,106.500,,0,,,
204,,Sosis Dilamo,Frozen,ER Coffeelab,Dilamo,500gr,pack,,Rp6.000,,,48.000,48.000,,0,,,
205,,Spagheti Lafonte Ukuran 11,Kering,ER Coffeelab,Lafonte,1 kg,dus,,Rp15.000,MANDIRI (DIAN),,27.000,27.500,,0,,,
206,,Spons Busa,Kering,ER Coffeelab,Scothbrite,1 pcs,pcs,1kg/minggu,Rp105.000,,,3.283,3.283,4,13.132,,,
207,,Spons Jaring,Kering,ER Coffeelab,Scothbrite,1 pcs,pcs,1 kg,Rp19.000,Toko Sejati,,12.800,12.800,6,76.800,3,,
208,,Spons Kawat,Kering,ER Coffeelab,Scothbrite,1 pcs,pcs,,Rp20.000,,,17.700,17.700,,0,,,
209,,Star Anise,Kering,ER Coffeelab,No merk(pasar),250gr,pack,1 botol,Rp25.000,,,120.000,120.000,,0,,,
210,,Stella Refill Matic,Basah,Sanusa Kitchen,Stella,,pcs,,Rp190.000,online,,39.900,39.900,4,159.600,,,
211,,Strawberry fresh grade b,Basah,ER Coffeelab,pasar,1kg,kg,0.5 kg/10 hari,Rp40.000,Strawberry Otong,,50.000,50.000,,0,,,
212,,Strawberry fresh grade c,Basah,ER Coffeelab,,,,,,Strawberry Otong,,,35.000,,,,,
213,,Sugar Stevia 100 gr,,,,,,,,tokped semuaonlinebandung,,40.200,45.000,,0,,,
214,,Sugar Stevia 200 gr,,,,,,,,tokped semestacoffee,,,70.000,,,,,
215,,Sumpit Ion,Kemasan,ER Coffeelab,ion,100pcs,pcs,,,,,11.250,11.250,,,,,
216,,Sumpit Seika,,,,,,,,,,22.400,22.400,,0,,,
217,,Sunquick Orange 300 ML,,,,,,,Rp9.000,ASTA,,35.000,35.000,,0,,,
218,,Sunquick Orange 700 ML,Kemasan,ER Coffeelab,Sunquick,botol 840ml,botol,,Rp35.000,Akapack,isi 250pcs/pack,80.000,80.000,12,960.000,,1,
219,,"Super Pell 1,5L",Kering,ER Coffeelab,Super pel,"1,5L",pouch,,Rp10.000,,,22.200,22.200,,0,,,
220,,Super Pell 550ml,Kering,,indogrosir,500 ml,,,Rp12.000,,,9.000,9.000,,0,,,
221,,Super Pell 770ml,Kering,,indogrosir,770 ml,,,Rp6.000,,,12.500,12.500,,0,2,,
222,,super sol 750 ml,,,,,,,,,,17.000,17.000,,0,,3,
223,,Superpell,Basah,Sanusa Kitchen,,1 bungkus,2Pcs,,,,,7.800,7.800,,,,,
224,,Susu Tujuh Kurma,Kering,Sanusa Kitchen,,,,,,,,252.000,252.000,,,,,
225,,Susu UHT Diamond All Purpose Milk 1L,Kering,Sanusa Kitchen,,L,Pack,,,Sukanda,,16.863,16.863,,,,,
226,,Susu UHT Diamond Full Cream 1L,Kering,ER Coffeelab,Diamond(Sukanda),ctn,dus,,Rp30.000,SUKANDA,,20.833,18.083,,0,,,
227,,Tahu Sutera,Basah,ER Coffeelab,No merk(pasar),1 pack isi 10,pack,,Rp220.000,TUNAS RAHAYU,,800,1.000,,0,,,
228,,Tahu Tuna,Frozen,ER Coffeelab,Bahari,1 pack isi 10,pack,1 botol,Rp25.000,online,,17.500,17.500,3,52.500,,,
229,,Tatura Cream Cheese,Kering,ER Coffeelab,Tatura,2 kg,pcs,,,Mandiri,,227.500,227.500,,,,,
230,,Teh Cap Botol bubuk,Kering,ER Coffeelab,Cap Botol,pack 80gr,pack,,,,,6.200,6.200,,0,,,
231,,Teh Goalpara,Kering,ER Coffeelab,Goalpara,250gr,pack,,,Sejati,,13.500,13.500,,0,,,
232,,Teh Tong Tji Bubuk,Kering,ER Coffeelab,Ton Tjie,pack 80gr,,,Rp20.000,,,7.200,7.200,,0,,,
233,,Teh Tong Tji Celup,Kering,Sanusa Kitchen,Jasmine Tea,,,,Rp45.000,,,6.300,6.300,,0,,,
234,,Tepung Cakra Kembar,Kering,,,1 kg,karton,,Rp15.000,Toko Sejati,MANDIRI (DIAN),12.500,13.000,12,156.000,,,
235,,Tepung Kulit Gandum Golden Eagle,Kering,ER Coffeelab,,,,,,,,36.500,30.000,,,,,
236,,Tepung Mocaf,Kering,ER Coffeelab,,,,,,Shopee Mywhitepeony freshdailymart,,32.440,29.500,,,,,
237,,Tepung Panir Primera Panko,Kering,,,,,,,,,18.500,18.500,,,,,
238,,Tepung Roti Mama Suka,Kering,ER Coffeelab,Mama suka,1 kg,kg,,Rp15.000,,,55.000,55.000,,0,,,
239,,Tepung Tapioka Captani,Kering,ER Coffeelab,Captani,1kg,kg,,,,,10.000,10.000,,0,,,
240,,Tepung Terigu Segitiga Biru,Kering,ER Coffeelab,Biru,1 kg,kg,,,MANDIRI (DIAN),,12.750,12.500,,0,,,
241,,Thai Tea Chatramue,Kering,ER Coffeelab,Chatramue,400 gr,dus,,,MANDIRI (DIAN),,54.167,58.000,,,,,
242,,Thermal Printer Besar,,ER Coffeelab,,,,,Rp222.000,Mandiri Pasbar (dian),,,,7,0,,5,
243,,Thermal Printer Kecil,,ER Coffeelab,,,,,,,,8.750,26.000,,,,,
244,Meat Stop,Thin wall 1000ml,Kering,,,,pack,10 kg,Rp185.000,,,37.500,37.500,,0,,,
245,,Thin Wall 300ml,Kering,ER Coffeelab,Klir,pack isi 25,pack,,Rp15.000,,,21.700,21.700,,0,20,,
246,,Thin Wall 750ml,Kering,ER Coffeelab,klir,pack,pack,20 pack (all outlet),Rp20.000,,,36.000,36.000,,0,,,
247,,Tissue Cuci Tangan uk.20 x 20 cm,Kemasan,Sanusa Kitchen,See U,,pack,2 pouch,Rp8.000,borma,,12.000,12.000,6,72.000,1,2,
248,,Tissue Dapur - roll,Kemasan,Sanusa Kitchen,Livi,,pack,,Rp12.000,,,17.250,17.250,,0,,,
249,Livi,Tissue Meja uk. 9 x 10 cm,Kering,ER Coffeelab,Livi,Dus,60 pack,1 dus,Rp189.000,,,3.150,188.700,,0,,,
250,,Tissue Wajah 1000gr uk.20 x 18 cm,Kering,ER Coffeelab,,,,,,indogrosir,,21.300,21.300,,,,,
251,,Tissue Wajah 250gr uk.20 x 18 cm,Kering,Sanusa Kitchen,Multi,4x260 s,1 pack,0.5 kg/minggu,Rp80.000,,,14.920,14.920,,0,,,
252,,tomat ceri fresh,Basah,ER Coffeelab,,1 kg,1 kg,,,tukang sayur,,45.000,40.000,,,,,
253,,Trash Bag Jumbo 80 x 120,Kering,ER Coffeelab,no merk(hoc),roll,pack,,,SINGA,,20.200,23.000,,,,,
254,,"Tuna Chunk Oil Sun Bell 1,8kg",Kering,ER Coffeelab,Sunbell,"1,8 kg",kaleng,,Rp350.000,Mandiri (dian),,174.500,170.000,,0,,,
255,,Tusuk gigi,Kemasan,Sanusa Kitchen,Ion,,pack,,Rp60.000,toko mandiri,,10.000,10.000,3,30.000,2,,
256,,Vanilla Essens,Kering,ER Coffeelab,ny liem,,,,,,,33.000,33.000,,,,,
257,,Vanilla Syrup,Kering,ER Coffeelab,,,,,,,,,,,,,,
258,,Vixal Porselen kamar mandi,,,,360 ml,,,,MAJU JAYA,8 OZ,9.850,9.850,300,2.955.000,,,
259,,wadah sambal sekat melamin,,,,,,,,,,5.400,5.400,,0,,,
260,,White Sugar Stick,Kering,ER Coffeelab,Superindo365,1 pack,pack,,Rp15.000,Superindo,,12.990,12.990,,0,,,
261,,Yakult,Basah,ER Coffeelab,Yakult,1 pack 100pcs,kali,,Rp75.000,toko mandiri/Sejati ,,10.500,10.500,48,504.000,12,,
262,,Zoda,Kemasan,ER Coffeelab,zoda,1 dus,dus,,,MANDIRI (DIAN),INDOGROSIR ,122.400,105.000,,,,,
265,,Lap Microfiber,,,ukuran 40 x 40 cm,1 pcs,,,,,,12.000,12.000,,,,,
266,,Refill Spin Mop - Lap pel,,,,1 pcs,,,,,,24.000,35.000,,,,,
267,,Tepung Mocaf,,,Mocafine,500 g,,,,,,32.440,32.440,,,,,
268,,Bumbu Gulai Indofood Sachet,,,,,,,,,,5.500,5.500,,,,,
269,,Bumbu Racik Rendang Indofood - Sachet,,,,,,,,MANDIRI (DIAN),,5.500,5.500,,,,,
270,,Mentega Blue band kaleng - 2 kg,,,,,,,,MANDIRI (DIAN),,120.000,120.000,,,,,
271,,Mama lemon - Jerigen,,,,,,,,,,78.400,78.400,,,,,
272,,Baking Powder BP - Ny.Liem,,,,150gr,pack,,,,,15.000,15.000,,,,,
273,,Kertas Wrap - Alas brownies pastry ,Kemasan,,20 x 20 cm,1 pack,100 pcs,,,,,25.000,25.000,,,,,
274,,Sticker sanusa - catering,Kemasan,,,pcs,1 pcs,,,,,185,185,,,,,
275,,Botol saus kosong - uk. 500ml,Kemasan,,,,,,,,,22.500,22.500,,,,,
276,,Cutlery Set (Pisau + Garpu set),,,,,,,,pt wet wipes,,450,1.000,,,,,
277,,Susu Diamond Fresh Milk Plain - 946ml,,,,,,,,Sukanda,,18.025,18.025,,,,,
278,,Danish pastry butter sheets 500gr,,,,,,,,Sukanda,,675.657,675.657,,,,,
279,,Olive oil,,,,,,,,Sukanda,,953.500,953.500,,,,,
280,,french baguette,,,,,,,,Sukanda,,170.000,170.000,,,,,
281,,Botol Minuman 250ml,,,,,,,,Akapack,,1.650,1.650,,0,,,
282,,Box Shinpo Caravan,,,,,,,,Toko Subur,,92.500,92.500,,,,,
283,,Lunch Box Sekat 5 - CK,,,,,,,,Toko Subur,,17.000,17.000,,,,,
284,,Tutup Botol Sirup - Pump,,,,,,,,,,35.833,35.833,,,,,
285,,Paper bowl + Tutup 500ml ,,,,,,,,,,22.500,22.500,,,,,
286,,Plastik Clip Ziplock 5 x 8 cm,,,,,,,,SINGA,,2.800,3.500,,,,,
287,,Stirrer / sedotan panas uk.12,,,,,,,,,,5.000,5.000,,,,,
288,,Tissue Toilet Roll,,,Multi,,,,,,,2.600,2.600,,,,,
289,,Jays Parsley,,,,1 btl,,,,,,25.000,25.000,,,,,
290,,Trash bag sedang uk.30 pelita,,,,,pack,,,SINGA,,,11.000,,,,,
291,,Syrup Masterista Pineapple,,,,,,,,CV Zayco Boga Alifa,,106.000,106.000,,,,,
292,,Syrup Masterista Coconut,,,,,,,,CV Zayco Boga Alifa,,106.000,106.000,,,,,
293,,Syrup Masterista Rose,,,,,,,,CV Zayco Boga Alifa,,106.000,106.000,,,,,
294,,Syrup Masterista Raspberry,,,,,,,,CV Zayco Boga Alifa,,106.000,106.000,,,,,
295,,Syrup Masterista Phistachio,,,,,,,,CV Zayco Boga Alifa,,106.000,106.000,,,,,
296,,Sticker box nasi - Sanusa ,,,,,,,,,,245,245,,,,,
297,,Sendok Spork Plastik Higienis (plus tissue + tusuk gigi),,,,,,,,,,300,300,,,,,
298,,Plastik Buram uk. 10 x 20,,,,,,,,,,14.580,10.500,,,,,
299,,Wedges Potatoes Mc Cain,,,,,,,,Sukanda,,158.740,70.000,,,,,
300,,Earl Grey 1kg,,,,,,,,,,247.800,247.800,,,,,
301,,Croissant Korsvet merk Gold Cup 2kg,,,,,,,,,,155.572,155.572,,,,,
302,,Cikur,,,,,,,,,,40.000,40.000,,,,,
303,,Bawang Putih - Kupas,,,,,,,,TUNAS RAHYU,,42.000,44.000,,,,,
304,,Wortel,,,,,,,,TUNAS RAHYU,,18.000,18.000,,,,,
305,,Seledri,,,,,,,,TUNAS RAHYU,,28.000,32.000,,,,,
306,,Bawang Bombay,,,,,,,,TUNAS RAHYU,,32.500,32.500,,,,,
307,,Keresek Anak Ayam uk.30 - Rumah Aqiqah,,,,,,,,,,24.000,24.000,,,,,
308,,oatside,,,,,1L,,,MANDIRI,,31.080,31.300,,,,,
309,,Romaine,,,,,,,,TUNAS MANDIRI,,28.000,28.000,,,,,
310,,Jamur Merang,,,,,,,,,,55.000,55.000,,,,,
311,,Cabe rawit merah,,,,,,,,TUNAS RAHAYU,,70.000,50.000,,,,,
312,,Cabe TW,,,,,,,,TUNAS RAHAYU,,52.000,53.000,,,,,
313,,Timun,,,,,,,,TUNAS RAHAYU,,14.000,15.000,,,,,
314,,Sloki Expresso - Stainless,,,,,,,,,,42.000,42.000,,0,,,
315,,SP Quick 75 - Merk Zeelandia,,,,,,,,tokped d20 bakers warehouse,,96.500,96.500,60,5.790.000,,,
316,,paper bowl 650 ml + tutup,,,,,isi 25 pcs,,,maju jaya,,31.667,11.000,10,110.000,,,
317,,Cendol,,,,,,,,elizabeth,,24.000,24.000,,0,,1,
318,,Kemiri,,,,,,,,TUNAS RAHAYU,,54.000,54.000,,0,,,
319,,Parsley Fresh,,,,,,,,TUNAS RAHAYU,,45.000,46.000,,0,,,
320,,kabel ties (packaging),,,,,,,,,,7.000,7.000,,0,,,
321,,Matcha Powder,,,,,,,,kang Ramdan,,250.000,250.000,,0,,,
322,,Coklat Powder,,,,,,,,kang Ramdan,,220.000,220.000,,0,,,
323,,Mie Yamin,,,,,,,,,,25.000,25.000,,0,,,
324,,Mie Keriting,,,,,,500,,,,17.000,17.000,,0,,,
325,,kecap Anggur  5L - Jerigen,,,Kecap Manis ,,,500,,Kecap Anggur.Id,,174.000,176.000,,0,,,
326,,Lee Kum Kee - Kecap Asin 500 ML,,,,,,,,TOKO MANDIRI,,40.000,40.000,,0,,,
327,,lada putih - Merk Ladaku 250gr,,,,,,,,TOKO MANDIRI,,100.000,100.000,,0,,,
328,,Kencur,,,,,,,,,,42.000,42.000,,0,,,
329,,Cup puding 50ml,,,,,,,,,,20.000,20.000,,0,,,
330,,Tray nasi box 20x20,,,,,,ISI 500,,MAJU JAYA,,16.000,300,,0,,,
331,,Kresek ayam uk.40,,,,,,,,,,35.000,35.000,,0,,,
332,,kresek ayam uk.30,,,,,,,,,,30.000,30.000,,0,,,
333,,Plastik diamond uk. 30 x 50,,,,,,,,SINGA,,45.000,45.000,,0,,,
334,,Blue band 200gr,,,,,,,,,,10.500,10.500,,0,,,
335,,bawang merah - kupas,,,,,,,,TUNAS RAHAYU,,47.000,45.000,,0,,,
336,,gelas takar 1L,,,,,,,,ALAT KOPI BANDUNG,,25.000,25.000,,0,,,
337,,tempat roti shinpo,,,,,,,,TOKO SUBUR,,26.250,26.250,,0,,,
338,,termos nasi 8L,,,,,,,,toko subur,,115.000,115.000,,0,,,
339,,kentang,,,,,,,,TUNAS RAHAYU,,19.000,19.000,,0,,,
340,,kol putih,,,,,,,,TUNAS RAHAYU,,10.000,10.000,,0,,,
341,,lobak,,,,,,,,,,14.000,15.000,,0,,,
342,,tomat fresh,,,,,,,,TUNAS RAHAYU,,10.000,10.000,,0,,,
343,,kunyit,,,,,,,,,,16.000,16.000,,0,,,
344,,caisin,,,,,,,,TUNAS RAHAYU,,12.000,14.000,,0,,,
345,,selada bokor,,,,,,,,TUNAS RAHAYU,,18.000,18.000,,0,,,
346,,plastik AA uk.10x20,,,,,,,,TOKO SINGA,,46.000,46.000,,0,,,
347,,Sereh,,,,,,,,,,19.000,19.000,,0,,,
348,,plastik AA uk.15x30,,,,,,,,,,11.000,11.000,,0,,,
349,,plastik OPP uk.12 x 23,,,,,,,,,,10.000,10.000,,0,,,
350,,Kanebo besar,,,,,,,,,,22.300,22.300,,0,,,
351,,Gas Torch,,,,,,,,,,,20.000,,0,,,
352,,spin mop set (tongkat pel + ember),,,,,,,,,,,305.000,,0,,,
353,,Kikoman Fish Sauce,,,,,,,,,,,,,0,,,
354,,Daun Ketumbar,,,,,,,,,,,5.000,,0,,,
355,,Sirloin,,,,,,,,Pa Anto,,,107.450,,0,,,
356,,Cup puding 10oz,,,,,,,,,,,235,,,,,
357,,Tiparos Fish Sauce 700 ML,,,,,,,,Mandiri (dian),,,30.000,,0,,,
358,,Cabe Keriting Merah,,,,,,,,TUNAS RAHAYU,,,50.000,,0,,,
359,,Bawang Daun,,,,,,,,TUNAS RAHAYU,,,18.000,,0,,,
360,,Paprika merah ,,,,,,,,TUNAS RAHAYU,,,60.000,,0,,,
361,,Paprika hijau,,,,,,,,TUNAS RAHAYU,,,55.000,,0,,,
362,,Cabe rawit hijau,,,,,,,,TUNAS RAHAYU,,,50.000,,0,,,
363,,Daun sereh,,,,,,,,TUNAS RAHAYU,,,20.000,,0,,,
364,,Jahe,,,,,,,,TUNAS RAHAYU,,,28.000,,0,,,
365,,Jamur Champignon,,,,,,,,TUNAS RAHAYU,,,52.000,,0,,,
366,,Jeruk limau,,,,,,,,TUNAS RAHAYU,,,40.000,,0,,,
367,,Daging sapi giling,,,,,,,,TUNAS RAHAYU,,,150.000,,0,,,
368,,Tahu Kuning ,,,,,,,,TUNAS RAHAYU,,,8.000,,0,,,
369,,Tisu dapur paseo,,,,,1 ctn,,,tokped,,,221.600,,0,,,
370,,Racik gulai daging,,,,,,,,ASTAR FOOD SHOPEE,,,155.400,,0,,,
371,,Cable tis 15 cm,,,,,,,,TOKO SINGA,,,7.000,,0,,,
372,,Victory Round Ball 750 ML,,,,,,,,AKAPACK,,,36.000,,0,,,
373,,Victory Round Ball 300 ML,,,,,,,,AKAPACK,,,19.000,,0,,,
374,,Mie Ramen Premium,,,,,,,,SENO PANGAN BERKAH SENTOSA,,,25.000,,0,,,
375,,Gula Pasir Superindo 365 1 kg,,,,,,,,SUPERINDO,,,13.000,,0,,,
376,,Organa Steviol ,,,,,,,,SUPERINDO,,,39.900,,0,,,
377,,River Mushroom Soy Sauce,,,,,,,,tokped segar food market,,,41.600,,0,,,
378,,Santan Kara 65 ml,,,sun kara,,,,,shopee 3evretail,,,6.000,,0,,,
379,,Paper Bowl Craft 500 ML,,,,,,,,akapackk,,,756,,0,,,
380,,Lid Paper Craft 500 ML,,,,,,,,akapack,,,545,,0,,,
381,,Lid injection with cover,,,,,,,,akapack,,,16.000,,0,,,
382,,Lemon juice,,,,,,,,TUNAS RAHAYU,,,30.000,,0,,,
383,,Bunga lawang,,,,,,,,TUNAS RAHAYU,,,170.000,,0,,,
384,,Kapulaga,,,,,,,,TUNAS RAHAYU,,,180.000,,0,,,
385,,Mie ayam keriting,,,,,,,,SENO PANGAN BERKAH SENTOSA,,,17.000,,0,,,
386,,Shoot Espresso Stainless 100 ML,,,,,,,,alat kopi bandung,,,42.000,,0,,,
387,,Cup 50 ML,,,,,,,,MAJU JAYA,,,20.000,,0,,,
388,,Sarung tangan plastik,,,,,,,,MAJU JAYA,,,10.000,,0,,,
389,,Oat milk barista blend 1 L,,,,,,,,SUKANDA,,,27.500,,0,,,
390,,Telur Ayam,,,,,,,,GIAS JIBRIL,,,24.500,,0,,,
391,,Tisu Meja Livi 150's,,,,,,dus,,PT Swiss Yuta Jaya,,,187.700,,0,,,
392,,Frozen Blueberry 500 gram,,,,,,,,Ny Liem,,,50.000,,0,,,
393,,Mika roll 10 cm,,,,,,,,Ny Liem,,,85.000,,0,,,
394,,Alas Kue Gold Persegi Panjang Isi 100,,,,,,,,Ny Liem,,,30.000,,0,,,
395,,Saus sambal bawang cap swan,Basah,Sanusa Kitchen,,,,,,Astar Food,,,3.000,,0,,,
396,,Nata de Coco Kara 1 KG,Basah,Sanusa Kitchen,kara,,,,,Mandiri,"mandiri 14,400",,19.900,,0,,,
397,,Sirup Tjampolay rasa Pisang Susu,Basah,Sanusa Kitchen,,,,,,Mandiri dian,,,40.000,,0,,,
398,,Box Nasi Oren ,Kemasan,,,,1 pack ,,,Maju Jaya ,,,150.000,,0,,,
400,,Kerupuk rambak,Kering,Sanusa Kitchen,,,10 pack,,,Mas Bagus,,,16.000,,0,,,
401,,Kacang atom garuda (33 gr),Kering,Sanusa Kitchen,,,10 pack,,,Indogrosir,,,17.500,,0,,,
402,,"Sohun gulung ""Bakso""",Kering,Sanusa Kitchen,,,,,,,,,,,0,,,
403,,Polki spray cleaner greentea,Basah,Sanusa Kitchen,,,,,,Inti Medical Store Shopee,,,34.500,,0,,,
404,,Biji Selasih,Kering,Sanusa Kitchen,,,,,,Mandiri dian,,,10.500,,0,,,
405,,Sosin,,,,,,,,,,,,,0,,,
406,,Botol Gemoy 250 ml,,,,250 ml,1 pcs,,,genevevashop store shopee,,,1.110,,0,,,
407,,Beras 5 kg,,,,5 kg,1 karung,,,,,,15.500,,0,,,
408,,Cocktail Shaker Stainless 750 mL,,,,750 mL,1 pcs,,,House Of Culinaire,,,85.000,,0,,,
409,,Squeezed Dispenser 32 oz,,,,32 oz,1 pcs,,,House Of Culinaire,,,29.000,,0,,,
410,,Spork Candi 2in1,,,,,1 pcs,,,Wet Wipes,,,300,,0,,,
411,,Arabica Blend,,,,,,,,toko senopati,,,295.000,,0,,,
412,,House Blend,,,,,,,,toko senopati,,,275.000,,0,,,
413,,Iga,,,,,,,,Sunopulo,,,115.000,,0,,,
414,,Tender,,,,,,,,Meat Shop,,,190.000,,0,,,
415,,Sticky Notes,,,,,,,,,,,12.500,,0,,,
416,,Rolled Oat,,,,,,,,,,,56.000,,0,,,
417,,Kacang Atom Garuda (16 gr),,,,16 gr,1 pcs,,,Indogrosir,,,815,,0,,,
419,,Super Sol Sereh 720 g,,,,,1 pcs,,,Indogrosir,,,13.700,,0,,,
420,,Ekonomi EL-900K 380G,,,,,1 pcs,,,Indogrosir,,,4.500,,0,,,
421,,Larisst Karbol Sereh 4 L,,,,,1 jerigen,,,Indogrosir,,,49.800,,0,,,
422,,Gentle Gen Silk Rose 1.5 L,,,,,1 pcs,,,Indogrosir,,,34.600,,0,,,
,,Beras Merah 5 kg,Kering,Sanusa Kitchen,,,,,,,,,,,0,,,
,,Cincau Hitam,Basah,Sanusa Kitchen,,,,,,,,,,,0,,,
,,Arabica White Rabbit Espresso1 KG,,,,,,,,HERD,,,315.000,,0,,,
,,House Blend Flok 1 KG,,,,,,,,HERD,,,195.000,,0,,,
,,Box Takeaway Kitchen Logo ER,,,,,dus,,,,,,82.500,,0,,,
,,Bawang Goreng,,,,,kg,,,Fahri,,,200.000,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,0,,,
