 ,VENDOR EKSISTING,NAMA BARANG,CATEGORY,PRODUK,MERK,UKURAN,SATUAN ISI,KEBUTUHAN PER PEKAN,HARGA EKSISTING,NAMA VENDOR BARU,NEXT VENDOR,HARGA EXISTING,HARGA 20/8/2026,,,Pekan I Mei,,
,Diisi oleh OUTLET,Diisi oleh OUTLET,Diisi oleh OUTLET,,Diisi oleh OUTLET,,,Diisi oleh OUTLET,,Diisi oleh tim Pengadaan PUSAT,,,,QTY,TOTAL BIAYA,ER Edelweiss,ER Summarecon,ER Cianjur
48,,Cutlery Set (Sendok & Garpu set),Kemasan,Sanusa Kitchen,Swipes,50,pack,4 botol/ bulan,Rp65.000,,,22.500,22.500,,0,,,
49,,Daging Giling,Basah,ER Coffeelab,Superindo,kg,kg,2 kg/ 2 minggu,Rp103.000,,,130.714,130.714,,0,,,
50,,Dairy Champ kaleng,Kemasan,ER Coffeelab,Dairy Champ,Kaleng 480 gr,dus,,Rp60.000,,,12.083,12.083,,0,,,
51,,Daun Mint,Basah,ER Coffeelab,Griya,ikat,ikat,5 pack,Rp9.000,Indogrosir,,4.950,4.950,,0,,,
52,,Davinci Sauce Caramel,Kemasan,ER Coffeelab,Da vinci,botol 2liter,ltr,,Rp50.000,Toffin Bandung Sejahtera,,269.000,269.000,,0,,,
53,,Degiroll,,ER Coffeelab,,,,,,,,15.600,15.600,,,,,
54,,Delmonte extra hot 1 kg,Kemasan,,,1 kg,,,Rp35.000,Dilco,,24.000,24.000,10,240.000,,,
55,Yakult,Denali Butterscotch,Kemasan,ER Coffeelab,Denali,botol 750ml,botol,,Rp35.600,HD JAYA,,106.560,106.560,,0,,,
56,,Denali Hazelnut,Kemasan,ER Coffeelab,Denali,botol 750ml,botol,5 pack,Rp30.000,HD JAYA,,106.560,106.560,,0,,,
57,,Dessert box 300 ml - Pastry,Kemasan,,,1 karton,,,Rp15.000,toko mandiri,,779.500,779.500,24,18.708.000,,,
58,,Detergen Cair,Kering,ER Coffeelab,Gentle Gen,"1,5L",pouch,1 dus,Rp144.000,,,48.500,22.300,,0,,,
